date;dY_prod;dY_inc;dY;dhours;dLP;dk;dLQ_BLS_interpolated;dLQ_Aaronson_Sullivan;dLQ;alpha;dtfp;dutil;dtfp_util;relativePrice;invShare;dtfp_I;dtfp_C;du_invest;du_consumption;dtfp_I_util;dtfp_C_util
1967:Q3;3.33;3.85;3.59;2.45;1.14;4.75;-0.07;;-0.07;0.33;0.44;2.08;-1.64;-0.01;0.21;0.43;0.44;7.71;0.56;-7.27;-0.12
1967:Q4;2.75;4.01;3.38;1.82;1.56;4.55;-0.3;;-0.3;0.33;0.87;-2.74;3.61;0.1;0.21;0.95;0.85;-8.6;-1.15;9.55;2
1968:Q1;8.94;6.15;7.54;0.37;7.18;4.51;-0.52;;-0.52;0.33;6.18;0.34;5.83;2.43;0.22;8.08;5.65;9.49;-2.21;-1.41;7.86
1968:Q2;7.15;6.4;6.77;3.08;3.69;4.69;-0.28;;-0.28;0.33;3.35;0.85;2.51;2.09;0.21;5;2.9;2.55;0.38;2.45;2.52
1968:Q3;2.89;5.8;4.35;2.26;2.09;4.85;-0.03;;-0.03;0.32;1.27;1.94;-0.67;-0.57;0.22;0.83;1.4;0.89;2.24;-0.06;-0.84
1968:Q4;1.57;3.03;2.3;2.35;-0.05;4.71;0.22;;0.22;0.32;-0.96;1.05;-2.01;1.97;0.22;0.58;-1.39;1.94;0.8;-1.36;-2.19
1969:Q1;6.95;3.95;5.45;5.66;-0.21;4.87;0.46;;0.46;0.32;-0.28;0.35;-0.63;2.35;0.22;1.55;-0.8;-5.15;1.92;6.7;-2.72
1969:Q2;0.45;2.03;1.24;0.9;0.34;5.24;0.52;;0.52;0.31;-1.38;1.65;-3.03;3.2;0.22;1.11;-2.08;-0.46;2.25;1.57;-4.33
1969:Q3;2.48;2.55;2.52;1.23;1.28;5.16;0.58;;0.58;0.31;-0.33;0.47;-0.81;1.74;0.22;1.03;-0.71;0.93;0.35;0.09;-1.06
1969:Q4;-3.08;-1.67;-2.37;-1.85;-0.52;5.44;0.64;;0.64;0.3;-3.18;-2.39;-0.79;1.84;0.22;-1.75;-3.58;-5.13;-1.62;3.38;-1.96
1970:Q1;-0.3;-3.01;-1.65;-2.08;0.43;5.04;0.71;;0.71;0.3;-2.18;-6.68;4.5;1.38;0.22;-1.1;-2.48;-12.06;-5.19;10.96;2.71
1970:Q2;0.67;0.01;0.34;-3.89;4.23;4.92;0.36;;0.36;0.29;1.39;-5.75;7.14;3.38;0.22;4.04;0.66;-5.2;-5.91;9.23;6.56
1970:Q3;4.32;3.88;4.1;-2.59;6.69;4.88;0.02;;0.02;0.29;4.48;-1.06;5.54;-0.93;0.22;3.75;4.68;1.34;-1.72;2.41;6.4
1970:Q4;-6.39;-5.76;-6.07;-3.81;-2.26;4.63;-0.32;;-0.32;0.3;-4.54;-4.06;-0.48;-0.84;0.21;-5.21;-4.36;-8.59;-2.88;3.38;-1.48
1971:Q1;13.36;9.61;11.49;1.9;9.58;3.84;-0.66;;-0.66;0.3;9.46;4.46;5;-0.84;0.21;8.8;9.64;13.1;2.14;-4.3;7.5
1971:Q2;2.52;3.14;2.83;2.34;0.49;4.04;-0.41;;-0.41;0.31;0.25;0.09;0.16;2.73;0.21;2.39;-0.34;-3.99;1.21;6.39;-1.55
1971:Q3;3.76;3.91;3.84;-1.04;4.87;4.07;-0.16;;-0.16;0.31;3.41;-5.31;8.72;4.54;0.21;6.97;2.43;-11.3;-3.67;18.27;6.11
1971:Q4;0.71;6.08;3.4;4.04;-0.64;3.64;0.09;;0.09;0.31;-0.59;5.17;-5.75;4.06;0.22;2.58;-1.48;16.05;2.09;-13.47;-3.57
1972:Q1;9.5;7.48;8.49;4.96;3.53;3.38;0.35;;0.35;0.31;3.78;2.24;1.54;2.32;0.22;5.58;3.27;7.37;0.78;-1.79;2.48
1972:Q2;11.44;6.38;8.91;2.04;6.87;4.09;0.11;;0.11;0.31;6.16;3.36;2.8;-0.43;0.22;5.82;6.26;9.92;1.52;-4.1;4.73
1972:Q3;4.23;7.79;6.01;3.08;2.93;4.55;-0.12;;-0.12;0.31;2.56;0.13;2.44;2;0.22;4.12;2.12;1.39;-0.23;2.74;2.35
1972:Q4;7.93;12.56;10.24;3.63;6.61;4.91;-0.36;;-0.36;0.31;6.46;2.9;3.57;5.68;0.23;10.86;5.18;6.9;1.72;3.96;3.45
1973:Q1;12.72;9.18;10.95;5.3;5.65;5.38;-0.59;;-0.59;0.31;6.03;1.75;4.29;3.45;0.23;8.69;5.24;2.86;1.41;5.84;3.83
1973:Q2;5.28;2.53;3.9;4.27;-0.37;5.6;-0.17;;-0.17;0.31;-0.66;1.7;-2.36;3.86;0.23;2.32;-1.54;-0.3;2.29;2.63;-3.83
1973:Q3;-3.29;1.1;-1.09;2.29;-3.38;5.8;0.25;;0.25;0.31;-4.63;-0.64;-3.98;6.66;0.23;0.52;-6.15;-4.12;0.38;4.63;-6.53
1973:Q4;3.98;4.5;4.24;2.36;1.88;5.43;0.67;;0.67;0.3;0.49;-0.63;1.11;6.43;0.22;5.49;-0.93;-3.35;0.14;8.84;-1.08
1974:Q1;-5.77;-5.41;-5.59;-0.02;-5.57;5.41;1.08;;1.08;0.3;-7.95;-4.79;-3.16;5.32;0.22;-3.8;-9.12;-9.59;-3.44;5.79;-5.68
1974:Q2;0.57;-2.68;-1.05;-0.71;-0.34;4.97;0.79;;0.79;0.3;-2.57;-5.68;3.11;-0.66;0.22;-3.09;-2.43;-13.39;-3.51;10.3;1.08
1974:Q3;-5.56;-3.45;-4.5;-2.18;-2.33;4.72;0.49;;0.49;0.3;-4.72;1.76;-6.48;-1.85;0.23;-6.15;-4.3;8.04;-0.06;-14.19;-4.24
1974:Q4;-2.79;-7.02;-4.9;-5.93;1.03;4.56;0.19;;0.19;0.3;-2.28;-7.87;5.59;-2.81;0.21;-4.49;-1.68;-8.97;-7.58;4.48;5.9
1975:Q1;-7.4;-7.05;-7.23;-12.74;5.52;4.08;-0.1;;-0.1;0.31;0.35;-9.43;9.78;-1.96;0.21;-1.19;0.77;-17.3;-7.28;16.11;8.05
1975:Q2;3.17;3.79;3.48;-3.25;6.73;3.02;-0.17;;-0.17;0.32;4.85;0.65;4.21;-5;0.21;0.93;5.93;2.38;0.17;-1.46;5.76
1975:Q3;8.41;10.03;9.22;4.05;5.17;2.48;-0.23;;-0.23;0.32;5.83;7.46;-1.62;2.59;0.22;7.87;5.27;12.11;6.17;-4.24;-0.9
1975:Q4;6.74;5.04;5.89;5.69;0.2;2.54;-0.29;;-0.29;0.32;1.42;5.78;-4.36;0.32;0.22;1.67;1.35;9.17;4.83;-7.5;-3.49
1976:Q1;11.45;10.58;11.01;5.73;5.28;2.64;-0.36;;-0.36;0.32;6.52;6.1;0.42;-1.91;0.22;5.04;6.94;11.41;4.6;-6.38;2.34
1976:Q2;3.53;2.97;3.25;0.96;2.29;2.98;-0.26;;-0.26;0.32;1.82;-1.5;3.31;-0.73;0.22;1.25;1.98;-3.95;-0.8;5.2;2.78
1976:Q3;2.4;3.54;2.97;1.86;1.11;3.26;-0.17;;-0.17;0.32;0.77;1.1;-0.33;0.33;0.22;1.02;0.7;2.31;0.75;-1.28;-0.05
1976:Q4;3.39;1.26;2.32;0.9;1.42;3.37;-0.08;;-0.08;0.32;0.67;-3.28;3.95;0.28;0.23;0.89;0.61;-5.57;-2.61;6.46;3.22
1977:Q1;6.38;6.04;6.21;3.96;2.25;3.32;0.02;;0.02;0.33;2.44;-0.23;2.68;1.38;0.23;3.5;2.12;3.08;-1.24;0.42;3.36
1977:Q2;9.5;11.57;10.54;8.8;1.74;3.52;0;;0;0.33;3.47;6.08;-2.62;3.11;0.23;5.85;2.75;13.3;3.92;-7.44;-1.17
1977:Q3;8.38;8.55;8.46;3.16;5.3;3.7;-0.02;;-0.02;0.33;5.14;-1.96;7.1;0.11;0.23;5.23;5.11;-3.07;-1.62;8.3;6.74
1977:Q4;-0.39;2.54;1.07;4.07;-3;3.88;-0.04;;-0.04;0.33;-2.91;2.16;-5.07;-0.18;0.24;-3.05;-2.87;2.68;1.99;-5.73;-4.86
1978:Q1;0.47;1.94;1.21;2.04;-0.83;3.87;-0.06;;-0.06;0.33;-1.39;-5.05;3.66;1.92;0.23;0.08;-1.84;-11.96;-2.92;12.04;1.09
1978:Q2;18.99;14.75;16.87;11.18;5.69;4.01;0.01;;0.01;0.33;8.03;8.21;-0.18;3.55;0.24;10.73;7.18;13.07;6.69;-2.35;0.49
1978:Q3;4.38;3;3.69;3.29;0.4;4.75;0.08;;0.08;0.32;-0.12;-0.33;0.21;1.64;0.24;1.13;-0.51;-1.08;-0.1;2.21;-0.41
