,Durable Emp,Construction Emp,Nondurable goods Emp,Services Emp,Durable Hours,Construction Hours,Nondurable Hours,Services Hours,Durable TH,Construction TH,Nondurable TH,Services TH
2/1/2010,4772,4160,3259,75739,40.6,37.3,40.4,32.1,193743.2,155168,131663.6,2431221.9
3/1/2010,4780,4192,3248,75840,41.1,37.7,40.8,32.1,196458,158038.4,132518.4,2434464
4/1/2010,4798,4200,3252,75951,41.3,39,40.8,32.2,198157.4,163800,132681.6,2445622.2
5/1/2010,4821,4169,3257,76006,41.6,38.1,41.1,32.2,200553.6,158838.9,133862.7,2447393.2
6/1/2010,4842,4164,3256,76071,41.3,38.3,40.6,32.2,199974.6,159481.2,132193.6,2449486.2
7/1/2010,4849,4145,3253,76162,41.4,38.2,40.6,32.3,200748.6,158339,132071.8,2460032.6
8/1/2010,4852,4163,3247,76250,41.4,38.6,40.9,32.3,200872.8,160691.8,132802.3,2462875
9/1/2010,4863,4154,3236,76347,41.6,38.5,41.2,32.3,202300.8,159929,133323.2,2466008.1
10/1/2010,4861,4172,3235,76496,41.5,38.9,40.8,32.4,201731.5,162290.8,131988,2478470.4
11/1/2010,4865,4179,3240,76603,41.7,38.8,40.7,32.3,202870.5,162145.2,131868,2474276.9
12/1/2010,4874,4144,3243,76732,41.6,38.8,40.8,32.3,202758.4,160787.2,132314.4,2478443.6
1/1/2011,4900,4125,3237,76706,41.4,37.7,40.4,32.3,202860,155512.5,130774.8,2477603.8
2/1/2011,4919,4131,3240,76888,41.8,39.1,40.9,32.3,205614.2,161522.1,132516,2483482.4
3/1/2011,4939,4140,3244,77066,41.9,38.5,40.7,32.3,206944.1,159390,132030.8,2489231.8
4/1/2011,4960,4143,3252,77289,41.7,39.2,40.8,32.4,206832,162405.6,132681.6,2504163.6
5/1/2011,4972,4170,3246,77392,41.9,39.1,40.9,32.4,208326.8,163047,132761.4,2507500.8
6/1/2011,4984,4175,3238,77543,41.8,39,40.8,32.4,208331.2,162825,132110.4,2512393.2
7/1/2011,4997,4194,3248,77658,41.8,39,40.9,32.5,208874.6,163566,132843.2,2523885
8/1/2011,5012,4195,3248,77777,41.8,39,40.7,32.3,209501.6,163605,132193.6,2512197.1
9/1/2011,5019,4222,3250,77964,41.7,39.1,40.8,32.3,209292.3,165080.2,132600,2518237.2
10/1/2011,5033,4224,3244,78119,41.9,38.8,41,32.5,210882.7,163891.2,133004,2538867.5
11/1/2011,5040,4236,3229,78301,41.8,39.1,40.9,32.4,210672,165627.6,132066.1,2536952.4
12/1/2011,5064,4244,3231,78473,42,39.2,40.9,32.4,212688,166364.8,132147.9,2542525.2
1/1/2012,5091,4256,3233,78708,42.2,39.2,41.1,32.6,214840.2,166835.2,132876.3,2565880.8
2/1/2012,5114,4237,3237,78974,42.2,39.3,41.1,32.5,215810.8,166514.1,133040.7,2566655
3/1/2012,5138,4242,3248,79104,42,39.2,40.9,32.4,215796,166286.4,132843.2,2562969.6
4/1/2012,5149,4242,3246,79183,42.2,39.2,41,32.4,217287.8,166286.4,133086,2565529.2
5/1/2012,5161,4216,3251,79331,42,39.1,40.9,32.4,216762,164845.6,132965.9,2570324.4
6/1/2012,5163,4225,3251,79374,42.1,39.1,40.9,32.4,217362.3,165197.5,132965.9,2571717.6
7/1/2012,5183,4233,3257,79458,42.2,39.1,41.1,32.4,218722.6,165510.3,133862.7,2574439.2
8/1/2012,5169,4244,3260,79610,41.8,39,41,32.4,216064.2,165516,133660,2579364
9/1/2012,5159,4248,3261,79777,41.8,39.2,41,32.5,215646.2,166521.6,133701,2592752.5
10/1/2012,5160,4260,3262,79932,41.8,39.3,41.1,32.4,215688,167418,134068.2,2589796.8
11/1/2012,5168,4267,3244,80063,41.8,39.1,41.1,32.4,216022.4,166839.7,133328.4,2594041.2
12/1/2012,5174,4298,3239,80220,42,39.5,41.2,32.5,217308,169771,133446.8,2607150
1/1/2013,5179,4331,3246,80272,41.9,39.6,41.1,32.4,217000.1,171507.6,133410.6,2600812.8
2/1/2013,5179,4365,3246,80445,42.3,39.6,41.2,32.5,219071.7,172854,133735.2,2614462.5
3/1/2013,5173,4377,3237,80575,42.3,39.8,41.2,32.5,218817.9,174204.6,133364.4,2618687.5
4/1/2013,5176,4373,3237,80735,42.2,39.5,41.2,32.4,218427.2,172733.5,133364.4,2615814
5/1/2013,5171,4400,3233,80879,42,39.8,41.2,32.4,217182,175120,133199.6,2620479.6
6/1/2013,5172,4422,3228,81017,42.1,39.5,41.2,32.5,217741.2,174669,132993.6,2633052.5
7/1/2013,5157,4426,3227,81179,42,39.4,41.2,32.3,216594,174384.4,132952.4,2622081.7
8/1/2013,5179,4445,3227,81334,42.3,39.5,41.2,32.4,219071.7,175577.5,132952.4,2635221.6
9/1/2013,5196,4466,3230,81449,42.3,39.5,41.1,32.4,219790.8,176407,132753,2638947.6
10/1/2013,5208,4488,3239,81605,42.3,39.3,41.1,32.3,220298.4,176378.4,133122.9,2635841.5
11/1/2013,5220,4510,3246,81772,42.5,39.7,41.1,32.4,221850,179047,133410.6,2649412.8
12/1/2013,5214,4489,3252,81866,42.3,38.9,41.2,32.4,220552.2,174622.1,133982.4,2652458.4
1/1/2014,5208,4529,3258,81973,41.9,39,41.1,32.3,218215.2,176631,133903.8,2647727.9
2/1/2014,5231,4541,3263,82065,42.1,38.5,40.9,32.2,220225.1,174828.5,133456.7,2642493
3/1/2014,5241,4562,3269,82275,42.5,39.8,41.3,32.4,222742.5,181567.6,135009.7,2665710
4/1/2014,5251,4596,3274,82457,42.4,39.4,41.1,32.4,222642.4,181082.4,134561.4,2671606.8
5/1/2014,5260,4611,3273,82625,42.6,39.5,41.3,32.4,224076,182134.5,135174.9,2677050
6/1/2014,5282,4629,3277,82793,42.6,39.5,41.4,32.4,225013.2,182845.5,135667.8,2682493.2
7/1/2014,5299,4663,3281,82917,42.5,39.8,41.2,32.4,225207.5,185587.4,135177.2,2686510.8
8/1/2014,5310,4682,3283,83056,42.5,39.7,41.3,32.4,225675,185875.4,135587.9,2691014.4
9/1/2014,5307,4708,3290,83194,42.6,39.8,41.4,32.4,226078.2,187378.4,136206,2695485.6
10/1/2014,5322,4719,3296,83310,42.6,39.7,41.4,32.4,226717.2,187344.3,136454.4,2699244
11/1/2014,5334,4719,3311,83479,42.6,39.6,41.6,32.5,227228.4,186872.4,137737.6,2713067.5
12/1/2014,5336,4740,3315,83683,42.4,39.8,41.7,32.5,226246.4,188652,138235.5,2719697.5
1/1/2015,5333,4757,3313,83789,42.3,39.7,41.6,32.4,225585.9,188852.9,137820.8,2714763.6
2/1/2015,5339,4780,3314,83954,42.2,39.8,41.5,32.5,225305.8,190244,137531,2728505
3/1/2015,5341,4761,3319,84083,42.1,39.5,41.4,32.4,224856.1,188059.5,137406.6,2724289.2
4/1/2015,5339,4798,3321,84192,42.1,39.4,41.4,32.4,224771.9,189041.2,137489.4,2727820.8
5/1/2015,5360,4831,3325,84462,42.1,39.3,41.4,32.4,225656,189858.3,137655,2736568.8
6/1/2015,5361,4848,3331,84566,42.2,39.8,41.1,32.3,226234.2,192950.4,136904.1,2731481.8
7/1/2015,5359,4867,3345,84662,42.1,39.6,41.2,32.4,225613.9,192733.2,137814,2743048.8
8/1/2015,5359,4884,3332,84810,42.1,39.8,41.4,32.5,225613.9,194383.2,137944.8,2756325
9/1/2015,5361,4901,3333,84947,42,39.7,41.3,32.4,225162,194569.7,137652.9,2752282.8
10/1/2015,5356,4935,3348,85126,42,40,41.4,32.4,224952,197400,138607.2,2758082.4
11/1/2015,5345,4977,3351,85264,42.1,39.6,41.3,32.5,225024.5,197089.2,138396.3,2771080
12/1/2015,5341,5021,3355,85458,42.2,40.1,41.1,32.5,225390.2,201342.1,137890.5,2777385
1/1/2016,5342,5007,3364,85521,42.4,39.8,41.2,32.5,226500.8,199278.6,138596.8,2779432.5
2/1/2016,5330,5008,3362,85685,42.2,39.6,41.1,32.4,224926,198316.8,138178.2,2776194
3/1/2016,5321,5039,3358,85857,42.1,39.3,41.2,32.3,224014.1,198032.7,138349.6,2773181.1
4/1/2016,5319,5053,3353,85954,42.3,39.6,41.2,32.4,224993.7,200098.8,138143.6,2784909.6
5/1/2016,5300,5051,3354,86039,42.4,39.4,41.1,32.4,224720,199009.4,137849.4,2787663.6
6/1/2016,5300,5056,3372,86234,42.2,39.7,41.2,32.3,223660,200723.2,138926.4,2785358.2
7/1/2016,5308,5073,3379,86419,42.5,39.7,41.1,32.4,225590,201398.1,138876.9,2799975.6
8/1/2016,5288,5073,3374,86562,42.3,39.4,41,32.3,223682.4,199876.2,138334,2795952.6
9/1/2016,5282,5097,3375,86758,42.3,39.8,41.2,32.4,223428.6,202860.6,139050,2810959.2
10/1/2016,5282,5120,3370,86865,42.4,39.8,41.3,32.4,223956.8,203776,139181,2814426
11/1/2016,5279,5135,3371,86975,42.3,39.9,41.2,32.3,223301.7,204886.5,138885.2,2809292.5
12/1/2016,5290,5141,3373,87131,42.3,39.5,41.2,32.3,223767,203069.5,138967.6,2814331.3
1/1/2017,5295,5163,3373,87309,42.3,39.4,41.2,32.3,223978.5,203422.2,138967.6,2820080.7
2/1/2017,5294,5177,3398,87471,42.4,39.6,41.2,32.3,224465.6,205009.2,139997.6,2825313.3
3/1/2017,5299,5190,3403,87555,42.3,39.3,41,32.3,224147.7,203967,139523,2828026.5
4/1/2017,5296,5198,3413,87703,42.4,39.6,41.3,32.5,224550.4,205840.8,140956.9,2850347.5
5/1/2017,5300,5201,3414,87820,42.4,39.8,41.2,32.4,224720,206999.8,140656.8,2845368
6/1/2017,5302,5220,3411,87954,42.4,39.6,41.4,32.4,224804.8,206712,141215.4,2849709.6
7/1/2017,5287,5223,3419,88101,42.2,39.5,41.5,32.4,223111.4,206308.5,141888.5,2854472.4
8/1/2017,5322,5248,3424,88168,42.3,39.7,41.4,32.4,225120.6,208345.6,141753.6,2856643.2
9/1/2017,5331,5256,3429,88188,42.3,39.4,41.2,32.4,225501.3,207086.4,141274.8,2857291.2
10/1/2017,5339,5267,3434,88344,42.4,39.7,41.4,32.5,226373.6,209099.9,142167.6,2871180
11/1/2017,5354,5288,3434,88479,42.4,40,41.5,32.5,227009.6,211520,142511,2875567.5
12/1/2017,5368,5304,3437,88500,42.2,39.7,41.3,32.5,226529.6,210568.8,141948.1,2876250
1/1/2018,5385,5320,3436,88557,42.2,39.3,41.3,32.3,227247,209076,141906.8,2860391.1
2/1/2018,5397,5348,3427,88776,42.6,40,41.7,32.5,229912.2,213920,142905.9,2885220
3/1/2018,5416,5368,3424,88857,42.5,40,41.6,32.4,230180,214720,142438.4,2878966.8
4/1/2018,5432,5390,3425,88989,42.7,40,41.8,32.4,231946.4,215600,143165,2883243.6
5/1/2018,5436,5430,3433,89228,42.3,40.2,41.8,32.4,229942.8,218286,143499.4,2890987.2
6/1/2018,5463,5446,3438,89344,42.6,39.9,41.5,32.5,232723.8,217295.4,142677,2903680
7/1/2018,5478,5466,3443,89401,42.5,40.1,41.8,32.5,232815,219186.6,143917.4,2905532.5
8/1/2018,5479,5487,3445,89526,42.5,39.7,41.6,32.5,232857.5,217833.9,143312,2909595
9/1/2018,5498,5499,3440,89566,42.3,39.4,41.7,32.4,232565.4,216660.6,143448,2901938.4
10/1/2018,5514,5505,3439,89650,42.5,39.6,41.4,32.4,234345,217998,142374.6,2904660
11/1/2018,5525,5491,3437,89748,42.3,39.5,41.4,32.4,233707.5,216894.5,142291.8,2907835.2
12/1/2018,5540,5519,3435,89823,42.5,39.9,41.3,32.4,235450,220208.1,141865.5,2910265.2
1/1/2019,5570,5556,3434,89997,42.3,40.3,41.5,32.5,235611,223906.8,142511,2924902.5
2/1/2019,5566,5483,3428,89969,42,39.1,41.1,32.4,233772,214385.3,140890.8,2914995.6
3/1/2019,5558,5513,3432,90038,42,39.8,41.2,32.5,233436,219417.4,141398.4,2926235
4/1/2019,5541,5558,3427,90260,41.9,39.5,41.2,32.4,232167.9,219541,141192.4,2924424
5/1/2019,5536,5576,3423,90347,41.9,39.6,41,32.3,231958.4,220809.6,140343,2918208.1
6/1/2019,5541,5590,3426,90449,42,40,41.1,32.4,232722,223600,140808.6,2930547.6
7/1/2019,5535,5605,3421,90558,41.8,39.6,41,32.3,231363,221958,140261,2925023.4
8/1/2019,5529,5627,3424,90652,41.9,39.8,40.9,32.4,231665.1,223954.6,140041.6,2937124.8
9/1/2019,5522,5639,3427,90782,41.8,40,40.8,32.4,230819.6,225560,139821.6,2941336.8
10/1/2019,5472,5639,3428,90838,41.8,39.9,40.9,32.3,228729.6,224996.1,140205.2,2934067.4
11/1/2019,5507,5613,3436,90960,41.7,39.5,40.9,32.3,229641.9,221713.5,140532.4,2938008
12/1/2019,5501,5599,3429,91059,41.7,39.2,40.8,32.4,229391.7,219480.8,139903.2,2950311.6
1/1/2020,5488,5633,3418,91247,41.5,39.6,40.9,32.4,227752,223066.8,139796.2,2956402.8
2/1/2020,5493,5646,3418,91364,41.7,39.3,41.1,32.5,229058.1,221887.8,140479.8,2969330
3/1/2020,5465,5601,3404,90059,41.3,39.4,41,32.2,225704.5,220679.4,139564,2899899.8
4/1/2020,4665,4738,3124,74269,38,38.3,39.1,32.6,177270,181465.4,122148.4,2421169.4
5/1/2020,4755,5155,3190,76499,39.5,39.3,39.4,33.1,187822.5,202591.5,125686,2532116.9
6/1/2020,5066,5296,3246,80182,40,39.6,39.8,33,202640,209721.6,129190.8,2646006
7/1/2020,5089,5300,3248,81627,41,39.5,40.2,32.9,208649,209350,130569.6,2685528.3
8/1/2020,5080,5347,3273,82529,41.3,39.5,40.7,33.1,209804,211206.5,133211.1,2731709.9
9/1/2020,5100,5367,3280,83460,41.4,39.4,40.8,33.1,211140,211459.8,133824,2762526
10/1/2020,5093,5416,3292,84082,41.5,39.3,41.1,33.2,211359.5,212848.8,135301.2,2791522.4
11/1/2020,5130,5429,3290,84471,41.5,39.4,40.9,33.2,212895,213902.6,134561,2804437.2
12/1/2020,5143,5450,3309,84151,41.5,39.5,41.2,33.1,213434.5,215275,136330.8,2785398.1
1/1/2021,5145,5457,3309,84378,41.8,39.9,41.2,33.3,215061,217734.3,136330.8,2809787.4
2/1/2021,5161,5367,3311,84865,41.4,38.4,41.3,33,213665.4,206092.8,136744.3,2800545
3/1/2021,5187,5478,3324,85215,41.8,40,41.3,33.2,216816.6,219120,137281.2,2829138
4/1/2021,5141,5473,3313,85496,41.6,39.8,41.6,33.3,213865.6,217825.4,137820.8,2847016.8
5/1/2021,5181,5461,3316,85898,41.7,39.5,41.4,33.3,216047.7,215709.5,137282.4,2860403.4
6/1/2021,5216,5466,3318,86401,41.3,39.3,41.4,33.2,215420.8,214813.8,137365.2,2868513.2
7/1/2021,5272,5474,3330,87080,41.5,39.6,41.5,33.2,218788,216770.4,138195,2891056
8/1/2021,5300,5497,3337,87352,41.5,39.5,41.3,33.1,219950,217131.5,137818.1,2891351.2
9/1/2021,5315,5526,3343,87821,41.4,41,41.4,33.1,220041,226566,138400.2,2906875.1
10/1/2021,5351,5556,3359,88321,41.3,39.4,41.4,33.1,220996.3,218906.4,139062.6,2923425.1
11/1/2021,5365,5604,3386,88785,41.5,39.8,41.3,33.1,222647.5,223039.2,139841.8,2938783.5
12/1/2021,5393,5633,3394,89133,41.5,39.9,41.2,33,223809.5,224756.7,139832.8,2941389
1/1/2022,5414,5630,3403,89437,41.3,39.5,40.8,32.9,223598.2,222385,138842.4,2942477.3
2/1/2022,5426,5644,3427,90125,41.7,40.2,41.2,33,226264.2,226888.8,141192.4,2974125
3/1/2022,5471,5670,3444,90333,41.7,39.3,41,33,228140.7,222831,141204,2980989
4/1/2022,5497,5683,3465,90556,41.6,39.5,40.8,33,228675.2,224478.5,141372,2988348
5/1/2022,5496,5711,3479,90744,41.5,39.7,40.7,32.9,228084,226726.7,141595.3,2985477.6
6/1/2022,5513,5726,3493,91004,41.4,39.4,40.5,33,228238.2,225604.4,141466.5,3003132
7/1/2022,5534,5745,3502,91406,41.5,39.5,40.4,32.9,229661,226927.5,141480.8,3007257.4
8/1/2022,5560,5757,3496,91539,41.3,39.5,40.4,32.9,229628,227401.5,141238.4,3011633.1
9/1/2022,5581,5768,3504,91765,41.4,39.6,40.4,32.9,231053.4,228412.8,141561.6,3019068.5
10/1/2022,5592,5785,3511,91883,41.4,39.8,40.3,32.9,231508.8,230243,141493.3,3022950.7
11/1/2022,5608,5789,3506,92022,41.1,39.2,40.4,32.9,230488.8,226928.8,141642.4,3027523.8
12/1/2022,5624,5798,3500,92082,40.9,39.3,40,32.8,230021.6,227861.4,140000,3020289.6
1/1/2023,5625,5820,3512,92397,41.1,39.9,40.5,33,231187.5,232218,142236,3049101
2/1/2023,5626,5813,3514,92555,41,39.9,40.2,32.8,230666,231938.7,141262.8,3035804
3/1/2023,5626,5811,3510,92739,40.8,39.5,40.3,32.8,229540.8,229534.5,141453,3041839.2
4/1/2023,5620,5826,3517,92867,41,39.5,40.3,32.7,230420,230127,141735.1,3036750.9
5/1/2023,5618,5825,3510,93096,41.1,39.5,40.2,32.7,230899.8,230087.5,141102,3044239.2
6/1/2023,5628,5844,3501,93117,41.2,39.6,40.1,32.7,231873.6,231422.4,140390.1,3044925.9
7/1/2023,5630,5850,3492,93299,41,39.5,40.2,32.7,230830,231075,140378.4,3050877.3
8/1/2023,5615,5872,3490,93291,41,39.7,40.3,32.7,230215,233118.4,140647,3050615.7
9/1/2023,5616,5872,3494,93470,40.9,39.7,40.4,32.7,229694.4,233118.4,141157.6,3056469
10/1/2023,5577,5877,3498,93517,41,39.8,40.3,32.6,228657,233904.6,140969.4,3048654.2
